"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and spectators (5km)"
"04/28/2024 12:23:22:424 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"5","50","5","20","50","dry","2189","6","36.33","7.34","1","36.33","7.34","36.33","7.34","14","32.7","6.6","7","30.32","6.127142857142857","35.07","7.081428571428571"
"3","50","5","20","50","dry","2217","9","35.5","7.17","7","35.5","7.172857142857142","35.5","7.17","11","29.86","6.03","3","33.09","6.713333333333334","28.65","5.772500000000002"
"13","50","5","20","50","dry","2439","7","32.15","6.5","2","32.15","6.5","32.15","6.502","13","33.86","6.83","7","35.67","7.225714285714286","31.74","6.378333333333334"
"7","50","5","20","50","dry","2512","9","31.36","6.34","3","31.36","6.339999999999999","31.37","6.341666666666667","11","31.83","6.43","6","31.12","6.268333333333333","32.68","6.627999999999999"
"9","50","5","20","50","dry","2282","10","31.47","6.38","5","31.47","6.38","31.47","6.382","10","33.1","6.84","3","34.96","7.1933333333333325","32.3","6.692857142857142"
"10","50","5","20","50","dry","2174","9","31.83","6.43","3","31.83","6.436666666666667","31.83","6.431666666666666","11","32.02","6.47","2","33.52","6.61","31.69","6.444444444444445"
"4","50","5","20","50","dry","2214","7","34.72","7.1","4","34.72","7.1025","34.72","7.1","13","30.33","6.12","6","30.03","6.056666666666666","30.59","6.182857142857142"
"6","50","5","20","50","dry","2266","9","35.63","7.19","2","35.63","7.19","35.63","7.19","11","31.42","6.35","5","32.61","6.576000000000001","30.43","6.163333333333333"
"14","50","5","20","50","dry","2494","5","35.5","7.19","2","35.5","7.195000000000001","35.5","7.19","15","34.38","7.01","7","33.72","6.8657142857142865","34.97","7.13625"
"1","50","5","20","50","dry","2466","8","32.47","6.55","3","32.47","6.55","32.47","6.55","12","30.95","6.22","4","33.97","6.817500000000001","29.45","5.921250000000001"
"8","50","5","20","50","dry","2428","9","31.47","6.36","4","31.47","6.36","31.47","6.36","11","34.06","6.88","7","34.81","7.094285714285713","32.73","6.515"
"12","50","5","20","50","dry","2480","9","31.77","6.02","3","31.77","6.02","31.77","6.02","11","34.51","6.91","6","34.35","6.881666666666665","34.7","6.9399999999999995"
"11","50","5","20","50","dry","2523","8","30.25","6.13","3","30.25","6.13","30.25","6.13","12","33.18","6.77","7","32.71","6.70857142857143","33.83","6.864"
"2","50","5","20","50","dry","2463","9","32.22","6.51","5","32.22","6.51","32.22","6.51","11","31.78","6.39","5","34.21","6.873999999999999","29.75","5.98"
"15","50","5","20","50","dry","2451","10","28.08","6.04","8","28.08","6.040000000000001","28.08","6.04","10","32.57","6.56","4","31.72","6.394999999999999","33.14","6.665000000000001"
"16","50","5","20","50","dry","2456","7","34.11","7.12","4","34.12","7.117499999999999","34.11","7.116666666666666","13","33.47","6.91","7","33.13","6.8100000000000005","33.86","7.025"
"20","50","5","20","50","dry","2238","9","30.63","6.1","4","30.63","6.1","30.63","6.1","11","32.81","6.63","6","33.85","6.838333333333334","31.57","6.388000000000001"
"19","50","5","20","50","dry","2355","10","31.02","6.28","5","31.02","6.28","31.02","6.28","10","32.4","6.61","6","34.31","6.988333333333333","29.53","6.0525"
"17","50","5","20","50","dry","2447","9","31.35","6.35","2","31.35","6.35","31.35","6.351428571428571","11","32.66","6.66","5","32.24","6.562000000000001","33.01","6.746666666666667"
"18","50","5","20","50","dry","2518","7","32.83","7.03","4","32.83","7.03","32.84","7.03","13","33.25","6.83","5","31.23","6.349999999999999","34.52","7.128749999999999"
"21","50","5","20","50","dry","2460","10","30.8","6.06","7","30.8","6.06","30.8","6.06","10","32.51","6.64","4","36.2","7.2875000000000005","30.06","6.215000000000001"
"22","50","5","20","50","dry","2449","8","30.6","6.17","4","30.6","6.17","30.6","6.17","12","31.64","6.34","6","30.98","6.173333333333334","32.3","6.510000000000002"
"24","50","5","20","50","dry","2446","9","31.02","6.27","7","31.02","6.267142857142857","31.02","6.27","11","33.78","6.89","3","31.22","6.3","34.74","7.117500000000001"
"23","50","5","20","50","dry","2524","8","30.85","6.24","3","30.85","6.24","30.85","6.24","12","35.01","7.05","8","35.66","7.165000000000001","33.7","6.8075"
"25","50","5","20","50","dry","2518","8","31.45","6.39","4","31.45","6.392499999999999","31.45","6.39","12","34.91","7.1","7","35.05","7.125714285714284","34.71","7.058000000000001"
"27","50","5","20","50","dry","2440","10","30.83","6.23","2","30.83","6.23","30.83","6.230000000000001","10","31.93","6.42","3","32.17","6.45","31.83","6.407142857142858"
"26","50","5","20","50","dry","2455","9","31.95","6.44","5","31.95","6.44","31.95","6.44","11","32.67","6.52","6","34.47","6.821666666666666","30.51","6.15"
"30","50","5","20","50","dry","2173","8","28.27","6.03","5","28.27","6.03","28.27","6.03","12","30.66","6.26","8","29.94","6.1587499999999995","32.09","6.477500000000001"
"29","50","5","20","50","dry","2512","10","34.52","7.1","6","34.52","7.1","34.52","7.1","10","32.09","6.46","5","34.28","6.868","29.9","6.058000000000001"
"35","50","5","20","50","dry","2147","7","31.33","6.33","4","31.33","6.33","31.33","6.33","13","30.56","6.2","8","30.52","6.1575","30.63","6.257999999999999"
"31","50","5","20","50","dry","2493","7","30.97","6.28","4","30.97","6.28","30.97","6.28","13","33.05","6.71","9","34.1","6.944444444444445","30.7","6.1825"
"32","50","5","20","50","dry","2291","9","35.8","7.24","2","35.8","7.24","35.8","7.24","11","33.45","6.8","6","32.36","6.613333333333333","34.75","7.026000000000001"
"34","50","5","20","50","dry","2237","7","35.93","7.09","4","35.93","7.09","35.93","7.089999999999999","13","32.9","6.61","8","32.35","6.435","33.79","6.9"
"36","50","5","20","50","dry","2207","9","30.75","6.22","3","30.75","6.22","30.75","6.22","11","33.6","6.8","5","33.67","6.822","33.55","6.783333333333333"
"33","50","5","20","50","dry","2403","9","31.17","6.3","5","31.17","6.3","31.17","6.3","11","33.85","6.85","5","36.56","7.387999999999999","31.59","6.401666666666668"
"38","50","5","20","50","dry","2203","9","31.95","6.45","5","31.95","6.45","31.95","6.45","11","30.23","6.05","5","27.37","5.42","32.62","6.581666666666665"
"40","50","5","20","50","dry","2213","8","27.42","5.55","4","27.42","5.55","27.42","5.55","12","31.56","6.37","5","30.66","6.142","32.21","6.528571428571429"
"37","50","5","20","50","dry","2517","8","31.33","6.34","3","31.33","6.339999999999999","31.33","6.338","12","32.43","6.53","9","32.02","6.437777777777778","33.66","6.796666666666667"
"39","50","5","20","50","dry","2469","8","31.82","6.43","2","31.82","6.429999999999999","31.82","6.429999999999999","12","29.9","6.01","6","30.48","6.106666666666666","29.33","5.909999999999999"
"28","50","5","20","50","dry","2164","10","31.15","6.3","4","31.15","6.3","31.15","6.3","10","32.49","6.59","5","31.31","6.38","33.66","6.800000000000001"
"41","50","5","20","50","dry","2386","8","34.52","7.1","2","34.52","7.1","34.52","7.1","12","30.8","6.26","8","30.64","6.271249999999999","31.1","6.2375"
"42","50","5","20","50","dry","2476","10","30.37","6.15","4","30.37","6.15","30.37","6.15","10","32","6.52","9","32.06","6.535555555555557","31.4","6.37"
