"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Wet weather group runners vs solo runners and no spectators (5km)"
"04/28/2024 13:14:08:488 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"4","50","5","20","0","wet","2561","10","37.03","8.17","5","37.03","8.17","37.03","8.17","10","35.9","7.74","4","35.5","7.754999999999999","36.17","7.721666666666666"
"2","50","5","20","0","wet","2619","9","37.17","8.21","4","37.17","8.21","37.17","8.21","11","37.81","8.09","6","38.04","8.213333333333333","37.53","7.944"
"10","50","5","20","0","wet","2651","8","40.95","8.34","5","40.95","8.34","40.95","8.339999999999998","12","37.34","8.01","7","37.39","7.96","37.27","8.09"
"13","50","5","20","0","wet","2772","7","35.98","7.59","7","35.98","7.590000000000001","0","0","13","37.41","8","8","39.51","8.3825","34.05","7.378"
"6","50","5","20","0","wet","2785","8","35.78","8.04","4","35.78","8.04","35.78","8.04","12","37.22","8.05","9","35.64","7.753333333333334","41.94","8.923333333333334"
"12","50","5","20","0","wet","2784","8","37.25","8.29","6","37.26","8.293333333333333","37.25","8.295","12","40.03","8.67","7","40.11","8.622857142857141","39.91","8.729999999999999"
"9","50","5","20","0","wet","2811","10","40.1","8.23","5","40.1","8.23","40.1","8.232","10","37.44","8.07","6","36.69","7.913333333333332","38.56","8.3075"
"1","50","5","20","0","wet","2840","10","40.29","8.27","5","40.29","8.27","40.29","8.27","10","37.64","8.13","5","37.55","8.044","37.72","8.214"
"11","50","5","20","0","wet","2940","9","40.8","8.4","6","40.8","8.4","40.8","8.4","11","37.75","8.18","10","38.41","8.291","31.1","7.02"
"5","50","5","20","0","wet","3057","10","36.72","8.35","6","36.72","8.35","36.72","8.35","10","39.25","8.57","6","38.85","8.468333333333335","39.86","8.7325"
"3","50","5","20","0","wet","3023","8","41.02","8.56","4","41.02","8.5625","41.02","8.5625","12","37.9","8.42","5","35.43","7.718000000000001","39.67","8.912857142857144"
"8","50","5","20","0","wet","3057","7","36.84","8.37","3","36.83","8.37","36.84","8.375","13","40.66","8.92","5","39.19","8.578","41.57","9.141250000000001"
"14","50","5","20","0","wet","3057","7","36.08","7.56","4","36.08","7.5600000000000005","36.08","7.566666666666666","13","37.88","8.19","7","37.77","7.991428571428572","38.01","8.418333333333333"
"7","50","5","20","0","wet","3057","8","36.1","8.04","4","36.1","8.04","36.1","8.045","12","38.35","8.42","7","37.5","8.187142857142856","39.53","8.736"
"15","50","5","20","0","wet","2820","7","35.8","8.06","2","35.8","8.06","35.8","8.06","13","35.86","7.85","10","34.42","7.583","40.63","8.719999999999999"
"20","50","5","20","0","wet","2632","9","39.89","8.13","4","39.89","8.1325","39.89","8.132000000000001","11","36.82","7.97","8","35.83","7.75375","39.48","8.546666666666669"
"16","50","5","20","0","wet","2888","8","36.73","8.27","3","36.73","8.27","36.73","8.27","12","36.53","7.87","7","36.71","7.862857142857142","36.28","7.873999999999999"
"18","50","5","20","0","wet","2721","8","38.87","8.06","3","38.87","8.06","38.87","8.06","12","39.06","8.35","6","36.14","7.689999999999999","41.97","9.014999999999999"
"27","50","5","20","0","wet","2519","9","37.15","8.17","6","37.15","8.17","37.15","8.17","11","36.97","7.81","4","37.84","8.047500000000001","36.47","7.669999999999999"
"19","50","5","20","0","wet","2784","9","36.07","7.43","5","36.07","7.430000000000001","36.07","7.429999999999999","11","37.86","8.06","6","39.96","8.353333333333333","35.33","7.71"
"21","50","5","20","0","wet","2788","8","39.99","8.22","4","39.98","8.22","39.99","8.2225","12","37.04","8","6","35.21","7.493333333333333","38.87","8.501666666666669"
"17","50","5","20","0","wet","2861","8","39.48","8.19","4","39.48","8.19","39.48","8.19","12","37.02","7.99","9","36.86","7.918888888888889","37.48","8.203333333333333"
"22","50","5","20","0","wet","2839","8","36.05","7.41","3","36.05","7.410000000000001","36.05","7.41","12","37.99","8.11","7","38.33","8.227142857142857","37.51","7.9399999999999995"
"26","50","5","20","0","wet","2696","8","36.09","7.43","2","36.08","7.429999999999999","36.09","7.433333333333334","12","36.38","7.74","4","37.48","8.035","35.83","7.588749999999999"
"24","50","5","20","0","wet","2904","10","41.22","9.06","2","41.22","9.05","41.22","9.057500000000001","10","36.99","8.04","5","38.51","8.438","35.48","7.6419999999999995"
"23","50","5","20","0","wet","3031","10","40.52","8.38","4","40.52","8.38","40.52","8.380000000000003","10","40.07","8.84","2","43.15","9.209999999999999","39.3","8.74625"
"25","50","5","20","0","wet","3057","10","39.57","8.28","4","39.57","8.282499999999999","39.57","8.28","10","38.42","8.48","7","37.3","8.144285714285713","41.04","9.273333333333333"
"29","50","5","20","0","wet","2549","7","35.95","7.58","3","35.96","7.58","35.95","7.58","13","37.74","8.18","4","36.92","7.9225","38.11","8.293333333333335"
"32","50","5","20","0","wet","2653","9","36.05","8.05","6","36.05","8.05","36.05","8.05","11","36.94","7.74","7","37.5","7.817142857142857","35.95","7.5925"
"31","50","5","20","0","wet","2762","10","38.1","8.39","5","38.1","8.389999999999999","38.11","8.392000000000001","10","38.86","8.31","5","36.72","7.72","41","8.897999999999998"
"34","50","5","20","0","wet","2764","9","35.85","8.02","3","35.85","8.02","35.85","8.02","11","38.15","8.26","4","38.73","8.3375","37.82","8.217142857142857"
"35","50","5","20","0","wet","2812","10","36.34","8.16","4","36.34","8.16","36.33","8.16","10","37.4","8.07","4","37.4","8.062500000000002","37.4","8.081666666666667"
"30","50","5","20","0","wet","3031","10","38.42","8.14","6","38.42","8.14","38.42","8.145000000000001","10","38.51","8.61","2","43.28","9.58","37.32","8.3625"
"33","50","5","20","0","wet","2922","10","35.89","8.12","5","35.88","8.12","35.89","8.123999999999999","10","38.27","8.25","3","40.88","8.593333333333332","37.15","8.102857142857141"
"37","50","5","20","0","wet","2816","9","36.06","7.57","4","36.06","7.572500000000001","36.07","7.576000000000001","11","38.1","8.22","4","36.06","7.7924999999999995","39.27","8.465714285714286"
"28","50","5","20","0","wet","3057","10","37.07","8.39","6","37.07","8.39","37.07","8.39","10","39.12","8.62","4","39.91","8.622499999999999","38.59","8.610000000000001"
