"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and spectators (10km)"
"04/28/2024 12:31:08:131 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"5","50","10","20","50","dry","4326","8","71.86","7.29","3","71.85","7.289999999999998","71.86","7.2940000000000005","12","65.53","6.65","7","66.65","6.832857142857143","63.96","6.398"
"7","50","10","20","50","dry","4331","7","63.3","6.48","3","63.3","6.48","63.3","6.482500000000001","13","64.58","6.64","7","64.32","6.611428571428572","64.87","6.663333333333333"
"4","50","10","20","50","dry","4365","8","67.08","7.11","4","67.07","7.11","67.08","7.11","12","61.61","6.43","6","62.14","6.425","61.07","6.428333333333334"
"9","50","10","20","50","dry","4522","4","72.63","7.38","1","72.63","7.38","72.63","7.383333333333334","16","63.8","6.44","6","62.6","6.38","64.52","6.476"
"8","50","10","20","50","dry","4745","4","62.11","6.27","3","62.11","6.27","62.12","6.27","16","63.08","6.35","8","62.39","6.151250000000001","63.76","6.54"
"13","50","10","20","50","dry","4918","4","64.61","7.01","3","64.61","7.006666666666665","64.62","7.01","16","65.93","6.69","11","66.24","6.640909090909091","65.23","6.8020000000000005"
"11","50","10","20","50","dry","4920","7","72.19","7.33","2","72.18","7.33","72.19","7.328","13","70.64","7.22","6","68.88","7.051666666666666","72.15","7.36"
"6","50","10","20","50","dry","4715","7","62.38","6.36","3","62.38","6.363333333333333","62.38","6.36","13","64.67","6.64","4","58.68","6.017499999999999","67.33","6.922222222222222"
"3","50","10","20","50","dry","5117","8","62.29","6.29","3","62.28","6.38","62.29","6.227999999999999","12","67.28","6.95","6","67.96","6.908333333333333","66.6","6.984999999999999"
"14","50","10","20","50","dry","4929","8","64.07","6.55","6","64.07","6.55","64.07","6.55","12","64.01","6.56","6","66.61","6.886666666666668","61.41","6.2299999999999995"
"12","50","10","20","50","dry","5254","8","66.56","7.13","4","66.55","7.13","66.57","7.1375","12","70.21","7.39","4","67.56","7.105000000000001","71.54","7.5275"
"10","50","10","20","50","dry","5036","8","63.28","6.38","4","63.28","6.38","63.28","6.382500000000001","12","67.37","6.71","9","65.66","6.488888888888889","72.48","7.38"
"1","50","10","20","50","dry","4926","10","71.8","7.31","3","71.8","7.31","71.8","7.314285714285714","10","69.88","7.17","6","68.97","7.043333333333332","71.25","7.36"
"2","50","10","20","50","dry","4923","10","71.82","7.35","7","71.82","7.345714285714286","71.82","7.35","10","62.59","6.3","5","60.41","6.031999999999999","64.76","6.573999999999999"
"15","50","10","20","50","dry","4319","5","64.87","6.67","2","64.87","6.58","64.88","6.723333333333334","15","60.14","6.15","7","61.44","6.354285714285714","59","5.96625"
"18","50","10","20","50","dry","4327","6","61.86","6.18","1","61.85","6.179999999999999","61.87","6.1819999999999995","14","63.11","6.45","7","64.99","6.531428571428572","61.24","6.371428571428571"
"16","50","10","20","50","dry","4933","8","69.18","7.18","5","69.18","7.183999999999999","69.18","7.179999999999999","12","68.29","7.03","6","68.58","7.023333333333334","68.01","7.028333333333333"
"17","50","10","20","50","dry","4876","6","72.24","7.08","3","72.24","7.076666666666666","72.23","7.076666666666666","14","66.31","6.65","8","65.14","6.4712499999999995","67.86","6.896666666666666"
"19","50","10","20","50","dry","5041","5","62.35","6.36","1","62.35","6.36","62.35","6.362500000000001","15","64.82","6.64","6","65.56","6.6450000000000005","64.33","6.632222222222222"
"23","50","10","20","50","dry","4922","5","68.77","7.16","3","68.77","7.160000000000001","68.77","7.16","15","67.56","6.89","12","66.11","6.739166666666668","73.33","7.510000000000002"
"26","50","10","20","50","dry","4326","7","62.72","6.39","3","62.72","6.389999999999999","62.72","6.39","13","60.81","6.19","5","63.78","6.48","58.96","6.0112499999999995"
"20","50","10","20","50","dry","4948","9","65.46","7.04","5","65.44","7.042","65.47","7.0424999999999995","11","67.87","6.93","7","67.44","6.895714285714287","68.63","7.0024999999999995"
"21","50","10","20","50","dry","5099","7","61.92","6.24","3","61.92","6.243333333333335","61.92","6.242500000000001","13","65.19","6.61","6","61.93","6.146666666666666","67.98","7.0042857142857144"
"25","50","10","20","50","dry","4946","6","64.03","6.47","3","64.02","6.47","64.03","6.47","14","67.24","6.78","7","69.55","7.017142857142857","64.93","6.538571428571429"
"24","50","10","20","50","dry","5070","7","61.29","6.19","4","61.29","6.1850000000000005","61.3","6.19","13","64.35","6.44","8","66.32","6.5912500000000005","61.2","6.21"
"22","50","10","20","50","dry","5227","10","67.72","7.18","2","67.72","7.179999999999999","67.72","7.18125","10","67.49","7.05","7","66.45","6.965714285714285","69.92","7.243333333333333"
"27","50","10","20","50","dry","4930","9","61.95","6.36","4","61.95","6.36","61.94","6.36","11","66.51","6.75","6","67.01","6.836666666666667","65.92","6.638"
"29","50","10","20","50","dry","5230","7","64.73","7.1","4","64.72","7.1025","64.74","7.106666666666667","13","63.66","6.72","6","66.23","7.1866666666666665","61.45","6.327142857142857"
"31","50","10","20","50","dry","4340","10","61.09","6.17","6","61.09","6.17","61.08","6.17","10","64.51","6.45","2","61.88","6.1049999999999995","65.17","6.53375"
"32","50","10","20","50","dry","4900","3","66.99","7.18","1","67","7.179999999999999","66.98","7.179999999999999","17","66.66","7.03","7","65.02","6.702857142857142","67.81","7.255"
