"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Wet weather group runners vs solo runners and spectators (10km)"
"05/01/2024 17:58:11:621 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"13","50","10","20","50","wet","5374","9","75.89","9.01","4","75.86","8.915","75.91","9.088","11","76.4","8.67","8","77","8.401250000000001","74.81","9.396666666666668"
"6","50","10","20","50","wet","5432","3","74.42","8.95","1","74.32","8.57","74.47","9.140000000000002","17","71.93","8.56","7","67.1","7.442857142857142","75.32","9.35"
"2","50","10","20","50","wet","5637","6","74.79","9.11","4","74.78","9.0975","74.79","9.129999999999999","14","80.65","9.6","7","80.07","8.919999999999998","81.22","10.28"
"4","50","10","20","50","wet","5688","4","73.86","9.11","1","73.77","9.05","73.89","9.126666666666665","16","79.23","9.41","8","82.7","9.17","75.75","9.655"
"7","50","10","20","50","wet","5791","6","76.56","9.43","3","76.54","9.393333333333334","76.59","9.46","14","78.41","9.84","9","80.29","9.604444444444447","75.01","10.256"
"5","50","10","20","50","wet","5858","6","78.56","9.25","4","78.55","9.2425","78.57","9.264999999999999","14","82.39","10.18","6","78.21","8.793333333333333","85.53","11.211250000000001"
"10","50","10","20","50","wet","5857","6","72.71","8.48","4","72.71","8.48","72.72","8.48","14","73","8.42","11","72.38","8.003636363636364","75.29","9.963333333333335"
"8","50","10","20","50","wet","6037","5","82.92","10.13","0","0","0","82.92","10.126000000000001","15","79.34","9.88","7","77.08","8.625714285714286","81.32","10.98625"
"3","50","10","20","50","wet","6197","7","76.39","9.65","1","76.35","9.56","76.39","9.663333333333334","13","77.19","9.55","10","74.94","8.767","84.71","12.146666666666665"
"9","50","10","20","50","wet","6275","6","76.25","9.36","2","76.24","9.35","76.25","9.360000000000001","14","77.13","9.79","7","78.14","8.921428571428573","76.12","10.65"
"1","50","10","20","50","wet","6472","6","78.29","10.39","0","0","0","78.29","10.393333333333334","14","80.46","11.03","7","81.05","10.057142857142857","79.88","12.00142857142857"
"14","50","10","20","50","wet","6846","7","80.66","11.28","3","80.65","11.28","80.66","11.2825","13","83.47","12.39","6","82.06","10.911666666666665","84.67","13.655714285714287"
"12","50","10","20","50","wet","6855","4","74.71","10.22","2","74.7","10.28","74.72","10.165","16","80.17","11.13","7","72.31","8.567142857142857","86.29","13.12888888888889"
"11","50","10","20","50","wet","6994","9","69.51","9.36","4","69.51","9.359999999999998","69.52","9.359999999999998","11","76.06","11.12","4","74.03","9.0075","77.21","12.324285714285713"
"15","50","10","20","50","wet","5394","5","77.37","9.1","4","77.37","9.095","77.38","9.109999999999998","15","74.93","9.12","7","71.14","8.231428571428571","78.25","9.891250000000001"
"16","50","10","20","50","wet","6143","5","80.02","10.23","1","79.97","10.27","80.04","10.2175","15","80.44","10.02","8","82.8","9.55125","77.74","10.564285714285715"
"18","50","10","20","50","wet","6346","7","84.24","10.49","2","84.2","10.379999999999999","84.25","10.538","13","80.71","10.19","9","81.84","9.714444444444444","78.14","11.275"
"21","50","10","20","50","wet","6208","4","78.8","10.11","3","78.78","10.093333333333334","78.88","10.16","16","83.96","10.75","8","85.75","10.038749999999999","82.17","11.456249999999999"
"19","50","10","20","50","wet","6384","6","77.08","10.25","5","77.06","10.226","77.17","10.34","14","78.2","10.31","6","80.39","9.429999999999998","76.55","10.96125"
