"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (21km)"
"04/27/2024 22:14:20:409 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","21","20","0","dry","9819","2","N/A","153.85","N/A","9.05","N/A","1","N/A","153.9","N/A","9.07","N/A","153.8","N/A","9.03","N/A","18","N/A","144.23","N/A","8.75","N/A","9","N/A","137.03","N/A","8.453333333333335","N/A","151.42","N/A","9.052222222222223","N/A"
"50","21","20","0","dry","9831","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","20","N/A","144.63","N/A","9.08","N/A","10","N/A","142.98","N/A","9.234","N/A","146.27","N/A","8.921","N/A"
"50","21","20","0","dry","9927","3","N/A","158.27","N/A","9.47","N/A","2","N/A","158.38","N/A","9.545","N/A","158.05","N/A","9.31","N/A","17","N/A","150.57","N/A","9.23","N/A","11","N/A","151.45","N/A","9.317272727272728","N/A","148.95","N/A","9.058333333333334","N/A"
"50","21","20","0","dry","10049","5","N/A","125.17","N/A","8.06","N/A","2","N/A","125.29","N/A","8.090000000000002","N/A","125.09","N/A","8.036666666666667","N/A","15","N/A","133.74","N/A","8.51","N/A","12","N/A","137.13","N/A","8.749166666666666","N/A","120.18","N/A","7.529999999999999","N/A"
"50","21","20","0","dry","10079","3","N/A","137.49","N/A","8.31","N/A","0","N/A","0","N/A","0","N/A","137.49","N/A","8.309999999999999","N/A","17","N/A","137.75","N/A","8.9","N/A","12","N/A","140.33","N/A","9.281666666666666","N/A","131.56","N/A","7.994","N/A"
"50","21","20","0","dry","10105","5","N/A","163.42","N/A","9.94","N/A","3","N/A","163.48","N/A","10.04","N/A","163.34","N/A","9.795","N/A","15","N/A","150.25","N/A","9.2","N/A","7","N/A","144.83","N/A","9.042857142857143","N/A","155","N/A","9.338750000000001","N/A"
"50","21","20","0","dry","10173","6","N/A","143.61","N/A","9.21","N/A","2","N/A","143.68","N/A","9.225","N/A","143.58","N/A","9.2","N/A","14","N/A","141.83","N/A","8.9","N/A","6","N/A","140.73","N/A","8.823333333333332","N/A","142.66","N/A","8.965","N/A"
"50","21","20","0","dry","10189","4","N/A","154.92","N/A","9.16","N/A","1","N/A","155.47","N/A","9.37","N/A","154.74","N/A","9.086666666666666","N/A","16","N/A","150.39","N/A","9.36","N/A","7","N/A","142.82","N/A","9.224285714285713","N/A","156.28","N/A","9.46","N/A"
"50","21","20","0","dry","10234","2","N/A","139.5","N/A","8.42","N/A","0","N/A","0","N/A","0","N/A","139.5","N/A","8.42","N/A","18","N/A","141.36","N/A","9.18","N/A","9","N/A","144.52","N/A","9.877777777777776","N/A","138.2","N/A","8.479999999999999","N/A"
"50","21","20","0","dry","10273","4","N/A","160.1","N/A","9.44","N/A","0","N/A","0","N/A","0","N/A","160.1","N/A","9.442499999999999","N/A","16","N/A","149.65","N/A","9.59","N/A","11","N/A","152.23","N/A","9.860909090909091","N/A","143.98","N/A","8.984000000000002","N/A"
"50","21","20","0","dry","10363","2","N/A","136.48","N/A","8.46","N/A","0","N/A","0","N/A","0","N/A","136.48","N/A","8.46","N/A","18","N/A","142.53","N/A","9.16","N/A","10","N/A","140.79","N/A","9.337","N/A","144.7","N/A","8.93375","N/A"
"50","21","20","0","dry","10396","5","N/A","145.5","N/A","9.26","N/A","1","N/A","145.62","N/A","9.01","N/A","145.47","N/A","9.325","N/A","15","N/A","152.78","N/A","9.76","N/A","6","N/A","154.23","N/A","10.15","N/A","151.81","N/A","9.494444444444444","N/A"
"50","21","20","0","dry","10504","3","N/A","145.97","N/A","9.36","N/A","0","N/A","0","N/A","0","N/A","145.97","N/A","9.363333333333335","N/A","17","N/A","151.58","N/A","10.08","N/A","10","N/A","148.95","N/A","10.378000000000002","N/A","155.34","N/A","9.65","N/A"
"50","21","20","0","dry","10552","4","N/A","168.73","N/A","11.24","N/A","4","N/A","168.73","N/A","11.2375","N/A","0","N/A","0","N/A","16","N/A","148.41","N/A","9.74","N/A","8","N/A","147.16","N/A","10.047499999999998","N/A","149.65","N/A","9.436250000000001","N/A"
"50","21","20","0","dry","10602","7","N/A","140.94","N/A","9.25","N/A","4","N/A","141.19","N/A","9.245","N/A","140.61","N/A","9.25","N/A","13","N/A","143.18","N/A","9.16","N/A","7","N/A","141.03","N/A","8.945714285714285","N/A","145.69","N/A","9.41","N/A"
"50","21","20","0","dry","10635","7","N/A","161.57","N/A","10.29","N/A","4","N/A","161.68","N/A","10.274999999999999","N/A","161.43","N/A","10.31","N/A","13","N/A","147.38","N/A","9.79","N/A","7","N/A","152.77","N/A","10.262857142857142","N/A","141.09","N/A","9.243333333333334","N/A"
"50","21","20","0","dry","10666","4","N/A","142.08","N/A","9.23","N/A","1","N/A","142.47","N/A","9.37","N/A","141.96","N/A","9.180000000000001","N/A","16","N/A","151.74","N/A","10.01","N/A","5","N/A","152.21","N/A","10.686","N/A","151.52","N/A","9.698181818181817","N/A"
"50","21","20","0","dry","10695","6","N/A","149.33","N/A","9.25","N/A","4","N/A","149.33","N/A","9.2525","N/A","149.33","N/A","9.254999999999999","N/A","14","N/A","148.71","N/A","9.86","N/A","11","N/A","146.02","N/A","9.821818181818179","N/A","158.6","N/A","10.006666666666668","N/A"
"50","21","20","0","dry","10821","2","N/A","151.67","N/A","10.25","N/A","2","N/A","151.67","N/A","10.25","N/A","0","N/A","0","N/A","18","N/A","142.93","N/A","9.54","N/A","9","N/A","144.17","N/A","9.985555555555555","N/A","141.69","N/A","9.092222222222222","N/A"
"50","21","20","0","dry","10833","6","N/A","153.66","N/A","10.04","N/A","3","N/A","153.73","N/A","10.05","N/A","153.59","N/A","10.033333333333333","N/A","14","N/A","145.34","N/A","10.09","N/A","10","N/A","140.17","N/A","10.046","N/A","158.27","N/A","10.1925","N/A"
"50","21","20","0","dry","10969","7","N/A","145.25","N/A","9.25","N/A","4","N/A","145.27","N/A","9.270000000000001","N/A","145.22","N/A","9.216666666666669","N/A","13","N/A","154.24","N/A","10.13","N/A","9","N/A","152.03","N/A","10.086666666666666","N/A","159.22","N/A","10.225","N/A"
