"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (10km)"
"04/27/2024 18:34:02:754 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","10","20","0","dry","4174","7","N/A","61.95","N/A","6.17","N/A","4","N/A","61.95","N/A","6.170000000000001","N/A","61.95","N/A","6.160000000000001","N/A","13","N/A","62.73","N/A","6.51","N/A","6","N/A","63.9","N/A","6.748333333333334","N/A","61.72","N/A","6.31","N/A"
"50","10","20","0","dry","4230","8","N/A","62.07","N/A","6.34","N/A","3","N/A","62.07","N/A","6.339999999999999","N/A","62.07","N/A","6.34","N/A","12","N/A","60.37","N/A","6.34","N/A","4","N/A","58.82","N/A","6.282500000000001","N/A","61.15","N/A","6.375","N/A"
"50","10","20","0","dry","4262","7","N/A","66.82","N/A","7.27","N/A","2","N/A","66.83","N/A","7.27","N/A","66.82","N/A","7.27","N/A","13","N/A","60.79","N/A","6.55","N/A","7","N/A","64.36","N/A","6.934285714285715","N/A","56.62","N/A","6.091666666666667","N/A"
"50","10","20","0","dry","4296","5","N/A","66.42","N/A","7.29","N/A","2","N/A","66.43","N/A","7.29","N/A","66.42","N/A","7.289999999999998","N/A","15","N/A","62.63","N/A","6.78","N/A","8","N/A","64.74","N/A","7.0125","N/A","60.23","N/A","6.505714285714285","N/A"
"50","10","20","0","dry","4325","10","N/A","61.67","N/A","6.48","N/A","3","N/A","61.67","N/A","6.48","N/A","61.67","N/A","6.480000000000001","N/A","10","N/A","66.46","N/A","6.85","N/A","4","N/A","64.83","N/A","6.74","N/A","67.54","N/A","6.916666666666667","N/A"
"50","10","20","0","dry","4328","7","N/A","65.31","N/A","7.21","N/A","4","N/A","65.32","N/A","7.2125","N/A","65.3","N/A","7.206666666666667","N/A","13","N/A","62.13","N/A","6.59","N/A","10","N/A","59.87","N/A","6.3919999999999995","N/A","69.68","N/A","7.253333333333333","N/A"
"50","10","20","0","dry","4339","8","N/A","62.71","N/A","7.01","N/A","4","N/A","62.71","N/A","7.0125","N/A","62.7","N/A","7.01","N/A","12","N/A","63.64","N/A","6.69","N/A","7","N/A","63.09","N/A","6.545714285714285","N/A","64.43","N/A","6.888000000000001","N/A"
"50","10","20","0","dry","4343","9","N/A","71.87","N/A","7.24","N/A","5","N/A","71.87","N/A","7.239999999999999","N/A","71.87","N/A","7.24","N/A","11","N/A","64","N/A","6.76","N/A","5","N/A","67.41","N/A","6.995999999999999","N/A","61.15","N/A","6.5616666666666665","N/A"
"50","10","20","0","dry","4350","4","N/A","64.17","N/A","7.13","N/A","0","N/A","0","N/A","0","N/A","64.17","N/A","7.13","N/A","16","N/A","61.28","N/A","6.57","N/A","6","N/A","60.86","N/A","6.523333333333334","N/A","61.52","N/A","6.601000000000001","N/A"
"50","10","20","0","dry","4354","9","N/A","62.08","N/A","6.33","N/A","3","N/A","62.08","N/A","6.33","N/A","62.08","N/A","6.33","N/A","11","N/A","65.12","N/A","6.81","N/A","5","N/A","64.59","N/A","6.739999999999999","N/A","65.56","N/A","6.859999999999999","N/A"
