"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (10km)"
"04/27/2024 18:32:59:113 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"6","50","10","20","0","dry","4296","5","66.42","7.29","2","66.43","7.29","66.42","7.289999999999998","15","62.63","6.78","8","64.74","7.0125","60.23","6.505714285714285"
"10","50","10","20","0","dry","4533","7","62.13","6.35","2","62.13","6.35","62.13","6.35","13","63.2","6.76","7","61.85","6.652857142857142","64.77","6.883333333333334"
"8","50","10","20","0","dry","4727","7","72","7.33","2","72","7.33","72","7.33","13","67.31","7.29","4","71.24","7.780000000000001","65.57","7.065555555555556"
"7","50","10","20","0","dry","5282","6","68.51","7.2","3","68.52","7.213333333333334","68.49","7.19","14","70.24","7.5","9","71.03","7.631111111111111","68.82","7.266000000000001"
"2","50","10","20","0","dry","4810","8","72.43","7.59","4","72.43","7.59","72.43","7.59","12","65.71","7.16","5","69.31","7.647999999999999","63.14","6.804285714285714"
"9","50","10","20","0","dry","4838","9","65.32","7.29","6","65.32","7.290000000000001","65.32","7.289999999999998","11","68.29","7.3","5","64.38","7.14","71.55","7.4383333333333335"
"5","50","10","20","0","dry","5282","7","71.57","7.4","5","71.57","7.398","71.57","7.39","13","69.49","7.42","5","70.58","7.408","68.8","7.42125"
"4","50","10","20","0","dry","5282","8","62.57","7.19","5","62.57","7.1899999999999995","62.57","7.183333333333334","12","69.91","7.59","4","70.29","7.535","69.71","7.617500000000001"
"3","50","10","20","0","dry","4911","9","66.25","7.35","3","66.25","7.35","66.25","7.35","11","68.77","7.38","6","70.93","7.6049999999999995","66.17","7.104000000000001"
"1","50","10","20","0","dry","4339","8","62.71","7.01","4","62.71","7.0125","62.7","7.01","12","63.64","6.69","7","63.09","6.545714285714285","64.43","6.888000000000001"
"15","50","10","20","0","dry","4793","3","62.07","6.44","0","0","0","62.07","6.44","17","63.56","6.71","6","57.93","6.231666666666667","66.64","6.975454545454544"
"13","50","10","20","0","dry","4354","9","62.08","6.33","3","62.08","6.33","62.08","6.33","11","65.12","6.81","5","64.59","6.739999999999999","65.56","6.859999999999999"
"16","50","10","20","0","dry","4328","7","65.31","7.21","4","65.32","7.2125","65.3","7.206666666666667","13","62.13","6.59","10","59.87","6.3919999999999995","69.68","7.253333333333333"
"12","50","10","20","0","dry","4946","9","63.53","7.18","4","63.53","7.1825","63.53","7.180000000000001","11","63.4","6.95","4","67.55","7.4125","61.02","6.688571428571428"
"17","50","10","20","0","dry","4401","7","70.65","7.1","3","70.65","7.1","70.65","7.1","13","65.66","6.87","6","64.13","6.753333333333333","66.97","6.975714285714286"
"11","50","10","20","0","dry","5282","9","71.67","7.35","4","71.67","7.3525","71.67","7.35","11","64.84","6.99","7","58.7","6.357142857142858","75.59","8.1"
"19","50","10","20","0","dry","4812","5","62.03","6.52","4","62.03","6.52","62.03","6.52","15","63.36","6.83","7","62.13","6.898571428571429","64.44","6.76375"
"14","50","10","20","0","dry","5282","8","69.5","7.28","7","69.5","7.281428571428572","69.5","7.28","12","65.64","7.08","6","58.23","6.493333333333335","73.05","7.656666666666665"
"18","50","10","20","0","dry","5282","9","61.99","7.03","5","62","7.0360000000000005","61.98","7.03","11","64.64","7.1","6","61.13","6.741666666666666","68.84","7.52"
"20","50","10","20","0","dry","4515","10","65.47","7.26","7","65.48","7.264285714285713","65.46","7.26","10","64","6.8","5","64.44","6.832000000000002","63.55","6.772"
