"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and spectators (10km)"
"04/28/2024 10:16:40:784 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"8","50","10","20","50","dry","4667","0","0","0","0","0","0","0","0","20","52.68","3.68","11","46.85","3.227272727272727","59.81","4.242222222222223"
"3","50","10","20","50","dry","4530","0","0","0","0","0","0","0","0","20","49.4","3.42","13","45.56","2.6238461538461544","56.55","4.894285714285714"
"5","50","10","20","50","dry","4671","1","48.33","1.16","0","0","0","48.33","1.16","19","55.19","3.97","10","54.18","3.8510000000000004","56.31","4.1"
"4","50","10","20","50","dry","4925","2","58.27","5.21","0","0","0","58.27","5.21","18","52.32","3.98","12","50.4","3.5791666666666666","56.18","4.786666666666666"
"7","50","10","20","50","dry","5014","3","50.07","1.15","0","0","0","50.07","1.1533333333333333","17","53.94","4.03","5","48.69","2.928","56.12","4.485833333333334"
"2","50","10","20","50","dry","4924","4","51.56","1.2","1","48.38","1.32","52.62","1.1566666666666665","16","58.96","4.81","11","58.85","4.98","59.19","4.424"
"9","50","10","20","50","dry","4980","4","39.55","1.11","1","39.3","1.0800000000000003","39.64","1.12","16","54.85","4.62","9","43.96","2.9333333333333327","68.87","6.795714285714285"
"10","50","10","20","50","dry","4952","5","70.43","7.26","0","0","0","70.43","7.260000000000001","15","57.4","4.89","8","47.9","2.7387500000000005","68.25","7.34142857142857"
"6","50","10","20","50","dry","5143","0","0","0","0","0","0","0","0","20","55.21","3.95","9","47.99","2.6355555555555554","61.12","5.028181818181818"
"1","50","10","20","50","dry","4852","4","46.93","1.15","1","46.23","1.11","47.16","1.1666666666666667","16","57.8","4.47","6","54.46","3.653333333333334","59.81","4.9540000000000015"
"12","50","10","20","50","dry","4663","0","0","0","0","0","0","0","0","20","51.19","3.36","8","59.84","5.81875","45.42","1.7216666666666667"
"11","50","10","20","50","dry","4996","6","44.5","1.23","1","43.53","1.24","44.69","1.2259999999999998","14","57.04","5.14","9","54.83","4.767777777777778","61.02","5.822"
"14","50","10","20","50","dry","4894","2","48.59","1.03","0","0","0","48.59","1.035","18","53.19","3.92","7","51.78","4.004285714285714","54.09","3.8609090909090913"
"16","50","10","20","50","dry","4777","2","41.03","1.18","0","0","0","41.03","1.1799999999999997","18","53.94","4","11","56.13","4.58090909090909","50.5","3.092857142857143"
"13","50","10","20","50","dry","4970","2","54.01","2.03","0","0","0","54.01","2.03","18","55.28","4.1","9","51.74","3.368888888888889","58.81","4.828888888888889"
"19","50","10","20","50","dry","5066","0","0","0","0","0","0","0","0","20","50.22","3.64","13","48.04","3.406923076923077","54.28","4.0842857142857145"
"17","50","10","20","50","dry","5282","0","0","0","0","0","0","0","0","20","53.36","3.77","9","50.9","3.8577777777777773","55.38","3.6890909090909085"
"15","50","10","20","50","dry","5282","2","30.77","0.39","2","30.77","0.39","0","0","18","51.33","4.07","8","46.93","3.4975","54.84","4.530000000000001"
"18","50","10","20","50","dry","5282","2","51.21","1.32","0","0","0","51.21","1.32","18","55.88","4.39","14","58.52","5.10642857142857","46.64","1.8675"
