"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (5km)"
"04/28/2024 11:23:39:814 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"33","50","5","20","0","dry","2517","10","31.48","6.45","4","31.48","6.45","31.48","6.45","10","33.9","7.17","8","35.2","7.427499999999999","28.71","6.15"
"36","50","5","20","0","dry","2454","9","30.38","6.22","6","30.38","6.22","30.38","6.22","11","33.5","6.92","5","30.44","6.345999999999999","36.05","7.406666666666665"
"35","50","5","20","0","dry","2503","9","30.83","6.17","2","30.83","6.17","30.83","6.169999999999999","11","33.36","6.76","4","29.68","6.114999999999999","35.46","7.1242857142857146"
"34","50","5","20","0","dry","2463","10","31.85","6.52","7","31.85","6.519999999999999","31.85","6.52","10","32.61","6.61","4","34.63","7.0575","31.27","6.308333333333334"
"39","50","5","20","0","dry","2487","9","31.8","6.52","4","31.8","6.52","31.8","6.52","11","32.33","6.77","8","30.76","6.535","36.51","7.390000000000001"
"37","50","5","20","0","dry","2530","9","31.72","6.5","3","31.72","6.5","31.72","6.5","11","33.95","7.02","3","29.48","5.99","35.62","7.401250000000001"
"41","50","5","20","0","dry","2253","7","33.24","7.09","4","33.24","7.09","33.23","7.089999999999999","13","34.12","6.96","8","33.16","6.8175","35.67","7.1819999999999995"
"40","50","5","20","0","dry","2530","9","31.98","6.56","6","31.98","6.56","31.98","6.560000000000001","11","33.53","6.9","3","33.74","6.989999999999998","33.46","6.864999999999999"
"42","50","5","20","0","dry","2507","9","31.1","6.37","6","31.1","6.37","31.1","6.37","11","34.74","7.24","8","34.53","7.25875","35.31","7.173333333333334"
"45","50","5","20","0","dry","2244","8","32.09","6.55","3","32.09","6.55","32.08","6.55","12","33.32","6.93","10","34.07","7.106","29.56","6.045"
"47","50","5","20","0","dry","2328","7","31.17","6.37","3","31.17","6.37","31.17","6.37","13","30.87","6.37","7","30.86","6.335714285714286","30.88","6.415000000000001"
"48","50","5","20","0","dry","2171","7","30.83","6.27","3","30.83","6.276666666666666","30.83","6.27","13","30.37","6.22","8","30.42","6.2","30.29","6.244"
"43","50","5","20","0","dry","2562","9","31.52","6.06","5","31.52","6.061999999999999","31.52","6.06","11","31.54","6.45","6","32.09","6.5583333333333345","30.88","6.322"
"44","50","5","20","0","dry","2464","9","33.03","7.09","4","33.03","7.09","33.03","7.09","11","34.48","7.07","2","34.8","7.21","34.41","7.04"
"49","50","5","20","0","dry","2173","8","31.52","6.42","7","31.52","6.421428571428572","31.52","6.42","12","30.66","6.25","5","32.96","6.718","29.02","5.922857142857142"
"46","50","5","20","0","dry","2486","8","31.43","6.45","5","31.43","6.45","31.43","6.45","12","33.85","6.9","5","33.94","6.920000000000002","33.79","6.884285714285714"
"50","50","5","20","0","dry","2562","9","30.75","6.31","4","30.75","6.31","30.76","6.31","11","34.9","7.19","6","35.58","7.290000000000001","34.09","7.078"
"52","50","5","20","0","dry","2432","7","31.55","6.46","2","31.55","6.46","31.55","6.46","13","32.64","6.69","7","33.17","6.8999999999999995","32.03","6.453333333333333"
"51","50","5","20","0","dry","2442","9","35.62","7.28","7","35.62","7.280000000000001","35.62","7.28","11","35.82","7.4","5","34.22","7.038","37.15","7.694999999999999"
"56","50","5","20","0","dry","2175","8","32.23","6.57","4","32.23","6.570000000000001","32.23","6.570000000000001","12","32.09","6.55","5","31.3","6.5680000000000005","32.66","6.532857142857142"
"53","50","5","20","0","dry","2385","9","31.22","6.4","7","31.22","6.4","31.22","6.395","11","34.02","7.04","7","33.4","6.925714285714284","35.1","7.2524999999999995"
"54","50","5","20","0","dry","2469","8","35.9","7.34","7","35.9","7.340000000000001","35.9","7.34","12","33.28","6.88","5","34.38","7.146000000000001","32.49","6.695714285714286"
"57","50","5","20","0","dry","2460","10","33.57","7.13","7","33.57","7.130000000000001","33.57","7.13","10","29.95","6.28","5","29.64","6.306","30.26","6.244"
"55","50","5","20","0","dry","2471","9","31.65","6.48","4","31.65","6.485","31.65","6.48","11","33.37","6.76","6","33.59","6.803333333333333","33.11","6.706"
"58","50","5","20","0","dry","2467","9","31.58","6.06","6","31.58","6.0616666666666665","31.58","6.06","11","33.56","6.77","3","32.57","6.466666666666667","33.93","6.887500000000001"
"59","50","5","20","0","dry","2460","10","30.53","6.26","7","30.53","6.26","30.53","6.26","10","34.02","7.02","4","35.08","7.267499999999999","33.31","6.858333333333333"
"60","50","5","20","0","dry","2483","10","30.9","6.34","4","30.9","6.34","30.9","6.333333333333334","10","34.49","7.12","2","36.42","7.554999999999999","34.01","7.0125"
"61","50","5","20","0","dry","2463","10","32.5","7.05","5","32.5","7.05","32.5","7.05","10","34.08","6.91","3","34.54","7.033333333333333","33.88","6.854285714285714"
"63","50","5","20","0","dry","2178","8","30.75","6.15","5","30.75","6.15","30.75","6.15","12","29.24","5.92","6","29.23","5.94","29.25","5.8966666666666665"
"62","50","5","20","0","dry","2454","10","29.62","6.17","6","29.62","6.17","29.62","6.17","10","33.18","7","10","33.18","6.997","0","0"
"66","50","5","20","0","dry","2163","9","31.34","6.38","8","31.34","6.380000000000001","31.33","6.38","11","29.45","5.96","7","29.2","5.980000000000001","29.87","5.9375"
"64","50","5","20","0","dry","2463","7","35.75","7.3","4","35.75","7.302499999999999","35.75","7.3","13","32.6","6.73","9","33.7","6.982222222222222","30.14","6.17"
"67","50","5","20","0","dry","2295","8","35.63","7.26","4","35.63","7.26","35.63","7.26","12","32.23","6.61","4","32.83","6.820000000000001","31.93","6.505"
"65","50","5","20","0","dry","2459","10","31.99","6.55","5","31.99","6.55","31.98","6.55","10","30.52","6.33","8","30.88","6.424999999999999","29.05","5.970000000000001"
"68","50","5","20","0","dry","2562","10","35.73","7.31","6","35.73","7.31","35.73","7.31","10","33.76","7.02","4","33.07","6.9425","34.22","7.0666666666666655"
"69","50","5","20","0","dry","2530","10","36.25","7.1","7","36.25","7.1","36.25","7.1","10","33.84","7.02","6","33.05","6.970000000000001","35.03","7.09"
"70","50","5","20","0","dry","2269","10","31.65","6.46","6","31.65","6.459999999999999","31.65","6.46","10","32.54","6.66","4","29.83","6.08","34.35","7.046666666666667"
"72","50","5","20","0","dry","2422","9","35.43","7.23","4","35.43","7.23","35.43","7.23","11","34.8","7.17","7","33.3","6.891428571428572","37.42","7.654999999999999"
"71","50","5","20","0","dry","2462","10","35.48","7.24","4","35.48","7.24","35.48","7.24","10","33.96","7.02","5","32.91","6.946000000000001","35.02","7.098"
"73","50","5","20","0","dry","2198","10","31.07","6.33","7","31.07","6.330000000000001","31.07","6.33","10","29.13","5.96","4","25.84","5.4125","31.33","6.319999999999999"
"75","50","5","20","0","dry","2380","10","33.09","7.08","3","33.09","7.083333333333333","33.09","7.080000000000001","10","32.51","6.69","4","31.06","6.507500000000001","33.48","6.815"
"74","50","5","20","0","dry","2562","7","31.03","6.16","5","31.03","6.16","31.03","6.16","13","32.44","6.64","6","33.13","6.741666666666666","31.86","6.544285714285713"
"76","50","5","20","0","dry","2223","10","34.65","7.16","7","34.65","7.159999999999999","34.65","7.160000000000001","10","32.78","6.63","4","31.6","6.519999999999999","33.57","6.694999999999999"
"77","50","5","20","0","dry","2179","9","30.62","6.16","6","30.62","6.159999999999999","30.62","6.160000000000001","11","29.76","6.11","2","27.31","5.779999999999999","30.31","6.177777777777777"
"79","50","5","20","0","dry","2154","7","30.52","6.22","3","30.52","6.22","30.52","6.22","13","30.12","6.2","7","30.85","6.402857142857142","29.26","5.97"
"78","50","5","20","0","dry","2530","8","35.78","7.32","5","35.78","7.319999999999999","35.78","7.320000000000001","12","35.65","7.36","5","35.49","7.356","35.76","7.367142857142857"
"81","50","5","20","0","dry","2457","10","31.9","6.53","3","31.91","6.533333333333333","31.9","6.530000000000001","10","33.16","6.85","6","35.22","7.233333333333334","30.07","6.272499999999999"
"80","50","5","20","0","dry","2512","9","30.33","6.22","1","30.33","6.22","30.33","6.219999999999999","11","32.8","6.71","7","32.48","6.637142857142857","33.35","6.825"
"82","50","5","20","0","dry","2469","10","31.88","6.53","3","31.88","6.53","31.88","6.530000000000001","10","31.69","6.5","3","30.36","6.216666666666667","32.26","6.614285714285714"
