"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Wet weather group runners vs solo runners and no spectators (10km)"
"05/01/2024 21:05:36:538 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"1","50","10","20","0","wet","5584","8","81.01","10.25","5","81","10.24","81.03","10.276666666666667","12","75.7","10.16","8","79.75","10.4675","67.6","9.5375"
"7","50","10","20","0","wet","5609","8","76.45","10.2","3","76.46","10.203333333333331","76.45","10.2","12","76.86","10.57","7","77.17","10.228571428571428","76.43","11.044"
"12","50","10","20","0","wet","5775","8","88.38","11.25","3","88.37","11.23","88.39","11.267999999999999","12","82.61","11.68","3","74.42","10.106666666666666","85.34","12.20111111111111"
"2","50","10","20","0","wet","5910","7","82.32","11.2","3","82.26","11.26","82.37","11.155","13","83.32","11.67","8","80.19","11.07125","88.34","12.631999999999998"
"9","50","10","20","0","wet","6286","7","79.44","11.17","5","79.45","11.176","79.43","11.17","13","83.23","12.61","7","78.08","11.417142857142856","89.23","14"
"3","50","10","20","0","wet","6342","4","87.08","12.25","3","87.07","12.226666666666667","87.1","12.32","16","86.9","12.83","12","86.98","12.555833333333332","86.66","13.6425"
"13","50","10","20","0","wet","6344","7","70.33","10.15","3","70.32","10.146666666666668","70.33","10.155","13","77.3","12.2","6","75.26","11.185","79.05","13.06714285714286"
"4","50","10","20","0","wet","6380","5","75.52","11.31","2","75.5","11.359999999999998","75.53","11.27","15","80.68","12.82","6","81.66","12.071666666666667","80.04","13.31333333333333"
"11","50","10","20","0","wet","6490","7","87.03","12.23","4","87.03","12.23","87.02","12.23","13","81.48","13.37","3","77.82","11.666666666666666","82.58","13.884999999999996"
"14","50","10","20","0","wet","6636","8","83.18","12.28","4","83.13","12.222500000000002","83.23","12.327500000000002","12","85.07","14.17","4","91.68","13.877499999999998","81.77","14.3125"
"8","50","10","20","0","wet","6873","7","76.41","12.27","3","76.38","12.24","76.43","12.297500000000001","13","82.96","14","9","80.43","12.966666666666669","88.64","16.325"
"5","50","10","20","0","wet","7109","9","83.44","13.35","5","83.38","13.24","83.5","13.4875","11","88.26","16.21","6","87.85","14.8","88.76","17.906000000000002"
"10","50","10","20","0","wet","7474","7","87.65","15.37","3","87.63","15.329999999999997","87.67","15.4075","13","84.54","17.78","6","79.22","14.673333333333336","89.1","20.44142857142857"
"6","50","10","20","0","wet","7475","4","73.92","13.4","2","73.92","13.4","73.92","13.4","16","75.4","16.73","4","70.2","13.002500000000001","77.13","17.97166666666666"
"16","50","10","20","0","wet","5170","6","84.3","10.04","4","84.25","10.012499999999998","84.4","10.110000000000001","14","75","9.41","9","72.26","8.991111111111111","79.93","10.171999999999999"
"15","50","10","20","0","wet","5908","6","83.69","11.34","4","83.69","11.3425","83.69","11.34","14","84.83","11.93","7","80.79","11.01142857142857","88.87","12.85"
"18","50","10","20","0","wet","6465","5","88.18","13.18","1","88.08","13.08","88.21","13.210000000000003","15","82.63","12.87","9","79.82","11.996666666666666","86.85","14.171666666666663"
"21","50","10","20","0","wet","6210","9","85.11","11.44","5","85.1","11.43","85.13","11.45","11","84.56","12.01","11","84.56","12.014545454545454","0","0"
"23","50","10","20","0","wet","6095","8","82.71","11.08","3","82.7","11.07","82.71","11.086000000000002","12","77.01","11.63","5","74.28","10.626000000000001","78.95","12.344285714285713"
"25","50","10","20","0","wet","5927","6","82.5","11.3","3","82.49","11.286666666666665","82.52","11.31","14","79.84","11.25","9","80.03","10.888888888888888","79.49","11.902"
"17","50","10","20","0","wet","6923","6","87.2","13.23","2","87.2","13.240000000000002","87.2","13.22","14","86.74","15.59","4","91.43","14.6975","84.87","15.947"
"19","50","10","20","0","wet","6705","8","89.2","13.15","2","89.18","13.140000000000002","89.21","13.153333333333336","12","84.73","14.5","5","81.3","12.792000000000002","87.19","15.71285714285714"
"28","50","10","20","0","wet","5424","10","80.9","10.02","5","80.88","10.008000000000001","80.91","10.024000000000001","10","72.42","9.6","7","70.79","9.262857142857143","76.24","10.373333333333333"
"24","50","10","20","0","wet","6687","8","78.04","12.29","4","78.02","12.26","78.05","12.3125","12","84.32","13.54","9","83.48","12.872222222222224","86.83","15.556666666666667"
"26","50","10","20","0","wet","6265","8","70.98","10.33","6","70.98","10.38","70.99","10.190000000000001","12","79.41","12.09","6","85.1","12.196666666666667","73.71","11.975"
"20","50","10","20","0","wet","7474","7","87.39","15.63","1","87.33","15.38","87.4","15.668333333333333","13","84.03","17.56","6","81.55","14.903333333333332","86.16","19.838571428571424"
"22","50","10","20","0","wet","7434","6","86.3","14.5","4","86.3","14.5","86.3","14.49","14","85.68","16.92","9","86.2","15.603333333333332","84.75","19.279999999999994"
"27","50","10","20","0","wet","6940","8","88.94","14.13","6","88.94","14.131666666666666","88.96","14.129999999999999","12","85.14","14.78","7","89.34","14.442857142857143","79.26","15.26"
"29","50","10","20","0","wet","5841","3","81.71","11.25","2","81.66","11.205","81.8","11.33","17","76.88","10.83","7","74.23","10.15","78.73","11.311"
"33","50","10","20","0","wet","5561","8","78.74","10.27","2","78.72","10.345","78.75","10.251666666666667","12","78.57","10.64","7","78.79","10.252857142857144","78.26","11.186000000000002"
